at,candidate_id,ticket_id,state,decision,priority,author,likes,comments,posted_at_iso,seed_url,short_reason
"2025-10-16T09:48:11.639Z","CAND_3158b9426dc1befbaceb135c1bf5d3d1d4360447","4284ddb7-48b3-4c19-a831-220f3f91e998","DONE","APPROVE","P1","jmding789",132,49,"2025-10-01T02:29:31Z","https://www.threads.net/@jmding789/post/DPP_jHtkquJ","批評民進黨與國民黨，稱黃國昌為唯一對手並貶抑其他政黨"
"2025-10-16T09:48:46.907Z","CAND_21b95b17d83c430cbdeb1cbf2aa4188ab0d6b0b3","2314485d-9c69-4d91-ab3b-6d510d2a2304","DONE","APPROVE","P1","hilda_a8964",181,33,"2025-10-01T09:42:52Z","https://www.threads.net/@hilda_a8964/post/DPQxJC6iXnm","批評國民黨並指花蓮人遭輕視，立場鮮明且具爭議性。"
"2025-10-16T09:48:51.837Z","CAND_5eb925f9b587a8a354718d28106ebb6e05737f65","079a1a5b-c2eb-4099-8514-51c5344070dc","DONE","APPROVE","P1","winedinegolf",199,61,"2025-10-01T06:09:12Z","https://www.threads.net/@winedinegolf/post/DPQYsN-D_SA","指出中央在9/21晚通知地方隔日調動約8000人，地方請求內政部長協助，內政部長表示會再確認。"
"2025-10-16T09:49:19.596Z","CAND_615e31a7b3ebf96e86a510a2d256b7f4fdc2dace","c5c667e2-f3a7-4be5-b57e-ce0097b7e3c9","DONE","APPROVE","P1","heartlesstaiwan",5547,67,"2025-10-01T04:00:40Z","https://www.threads.net/@heartlesstaiwan/post/DPQJ-u1kUpX","黃國昌宣稱多個媒體與政黨本來就會倒、與他無關，立場明確且具爭議性"
"2025-10-16T09:49:31.611Z","CAND_8097be06d362ae9c696fbc0c3e5f83d80953e8b3","f788cc38-6009-469c-b080-2bd54149fc5d","DONE","APPROVE","P1","hsukai_0921",462,71,"2025-10-01T07:49:28Z","https://www.threads.net/@hsukai_0921/post/DPQjc6sD0MG","內容對民進黨有明確批評且具煽動性，易引發討論。"
"2025-10-16T09:50:32.548Z","CAND_5bee4eca74f2e3a73b5747597e71e4987b82746e","31b1796c-e484-452b-9e72-5319824ef9ba","DONE","APPROVE","P1","mr.kp157",3361,119,"2025-10-01T01:23:28Z","https://www.threads.net/@mr.kp157/post/DPP395iDg8e","指控黃國昌掌握多名政治人物爆料，質疑國民黨是否能繼續力挺。"
"2025-10-16T09:51:08.197Z","CAND_d03a04fba8ad35f99702a5a1f959ba40b5a0f774","d0b7134a-5df7-4323-a13e-b539ff0b675a","DONE","APPROVE","P1","kamiuro",3162,198,"2025-09-28T09:58:08Z","https://www.threads.net/@kamiuro/post/DPJEgTjD4Ow","指控某人掌控律師、訴訟策略與政黨資源，並影響司法與黨內人事。"
"2025-10-16T09:51:31.003Z","CAND_44ca1549971d835891ccb60d2dd38b4d29905586","284f51a9-6eb3-4e2e-81be-e948ca696b66","DONE","APPROVE","P1","mirror_media",464,45,"2025-09-29T02:18:02Z","https://www.threads.net/@mirror_media/post/DPK0pWEEtKq","指控民眾黨主席黃國昌指揮狗仔跟監偷拍，並指中央社記者謝幸恩請辭。"
"2025-10-16T09:51:52.115Z","CAND_323ee64f4dac50307117c136b0fcf9984425b25a","b6278432-bdd4-4f3b-9c49-805a68d4dda9","DONE","APPROVE","P1","kevinlin.0707",981,49,"2025-07-31T07:43:41Z","https://www.threads.net/@kevinlin.0707/post/DMw6N32RtNJ","由不喜歡到同情柯建銘，表達反對欺負他的立場。"
"2025-10-16T09:52:03.394Z","CAND_21e72ab3c4290cb4e500302c9948d70e0f5f4acc","f51822b3-f2a3-43d0-baba-36776150f2e8","DONE","APPROVE","P1","choueagleeagle",254,35,"2025-09-29T04:21:51Z","https://www.threads.net/@choueagleeagle/post/DPLC0Nqj6Yg","指控賴清德與民進黨打壓媒體與新聞自由，立場明確且語氣激烈。"
"2025-10-16T09:52:22.813Z","CAND_a93bc537ca233dce96ef5d59bd2319435745f770","e397ef89-1a43-4ff2-b600-a3c6e6d8acdd","DONE","APPROVE","P1","tpp_taiwan",2258,547,"2025-07-30T12:33:26Z","https://www.threads.net/@tpp_taiwan/post/DMu2avGyeKx","主張支持核三延役並在核三公投投同意，同時呼籲在小惡罷投票中投不同意。"
